10001,NewYork,40.7128,-74.0060
10002,Tokyo,35.6895,139.6917
10003,Shanghai,31.2304,121.4737
10004,Amsterdam,52.3680,4.9036
10005,London,51.5074,-0.1278
10006,HongKong,22.3964,114.1095
10007,Frankfurt,50.1109,8.6821
10008,Mumbai,19.0760,72.8777
10009,Toronto,43.6532,-79.3832
10010,Seoul,37.5665,126.9780
10011,Zurich,47.3769,8.5417
10012,Stockholm,59.3293,18.0686
10013,Sydney,-33.8688,151.2093
10014,Moscow,55.7558,37.6173
10015,Johannesburg,-26.2041,28.0473
10016,Taipei,25.0330,121.5654
10017,SaoPaulo,-23.5505,-46.6333
